Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae,25.385453879973703,31.307217565080226,14.340780451943195,17.348370903434805,9.274125475631179,4.471783720977158,30.791409723383968,12.280741769474322,51.40964863735839,6.043656907621144,38.58806764704191,30.225716824683968,44.216943087964495,12.55138588001015,9.072049282095195,15.82618617668801,39.98035004042698
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,2.5590810522866843,4.655251510903663,3.9615366568638692,18.210182918984852,29.689034642078717,14.999269802778825,11.69574086394617,24.290905957606416,12.027466676762366,29.567851094290692,5.470818341640214,5.992175859859935,6.069049061175045,13.193641340165524,13.531622073226144,18.202975877426876,9.160409333322445
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,1.9389297848105957,1.560923997514656,1.394783520503173,4.246721186064254,4.181616270524391,4.644274085070873,3.208556355862624,3.733886146225092,2.068812958949999,4.900345526611432,4.993133855793714,8.814851065691764,3.126207273928246,3.847042794420471,1.5107787427830877,4.384789796361202,2.959336180916835
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,1.4198651166503766,2.0746485095241853,1.9833861517688967,3.9447150649409775,2.7146200379187015,1.900350754380634,2.0858372374321683,2.7142403384458387,1.790156150406453,1.722192468575985,1.535802632719503,1.8143003794714019,2.1704302130164392,3.1861129790118667,0.9011735769466609,3.691183068962093,2.234819467017306
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola,1.0788447721559966,1.0354714038022361,0.7539693538940258,8.983788711657612,4.926952213775622,4.4134478554277425,2.624444836760229,8.688302736018327,4.748717223810156,5.285999556136596,2.636032072817825,1.004281479500902,1.7082507156811249,4.824997006241254,3.077704684847805,5.5847581674347095,2.9708190749981624
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae,1.0187837904242323,1.085106558189216,0.6232412348662184,5.5629585746814625,1.3328185042258454,1.1270609092363855,2.641328120844226,3.365991870001115,2.9499426883856863,1.8848562201375385,1.753797504385188,1.289404260750631,2.610502506254974,2.175122744108576,1.2611920655748312,2.944777181568427,2.1476768782208864
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae,0.2245389352374792,0.19730538357468208,0.291801249055002,2.4600435498703193,1.1660534112710548,1.0372796147914982,0.4356889497749281,0.9916503627412221,0.3245655371327706,1.0004651580152486,0.35069602648310405,0.5467541876652336,0.5388844270955838,1.3347139515856872,1.5462659294089276,1.1891648860071424,0.4828532460001797
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae,0.21609872660597007,0.2428895018128719,0.1547142650356812,0.5042435446820293,0.3035159208966436,0.1622016754779795,0.2393147699440539,0.4149982597882686,0.3886025928288576,0.20231111771968932,0.4192087004351765,0.2991167847990439,0.6210978773915449,0.33571968704125354,0.20748240467842677,0.41545146614785416,0.44871491224488125
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.13719828498878694,0.1453857104414992,0.09594458403149504,0.2914971869409684,0.18367851568555216,0.11371498174906508,0.14992587544453534,0.23845969297934386,0.24864105382562618,0.13047565391997484,0.20914812801119056,0.1719608966405721,0.38759510424143895,0.253590207603561,0.17576940779041778,0.25516912281217935,0.2595330071951847
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae,0.08370009604206456,0.08944156533099357,0.061668308920545534,0.19265496971997528,0.10319070621541612,0.07639601022635714,0.09239550673365501,0.15079019128812837,0.1327515557347858,0.08302436657455003,0.13650961845343448,0.12030003627552217,0.21875651242402933,0.14556366824631056,0.09805541000689647,0.16230512351831353,0.15350816298195896
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae,0.01400715475016411,0.01180777421729333,0.010598108319188934,0.04071219338133031,0.017556697621263592,0.013325350110088969,0.015264339034846636,0.02708310102351482,0.019820993429741234,0.017232633536600452,0.01920100416491203,0.018026857598108754,0.02666513923029394,0.027404406980356753,0.021125659441625783,0.028893576017918154,0.020907687658747336
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Salinivirgaceae,0.007738218358482271,0.006747299552739045,0.007119754819557695,0.020435509291539013,0.011641706554939756,0.009269808772235804,0.008171817867140118,0.013313464508128309,0.008579621667110937,0.008887115295303947,0.006089574668004125,0.009618356906373462,0.01077330122467086,0.014445409332655585,0.009876613404843608,0.01923939787350636,0.00999648816183857
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae,0.0076892422929222565,0.00786299475437306,0.005924070804059456,0.018873728141019838,0.01016688119622771,0.009929083965088781,0.007516530585341146,0.01816240399268773,0.017146322217253332,0.008111646786156928,0.012655207290510201,0.011231498525891023,0.021985334173423337,0.015199082863055007,0.012793032747713063,0.02015884341106939,0.017118169270599382
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae,0.016831441197458274,0.014583730135644629,0.01436632461045611,0.04177102805964839,0.02246755227314519,0.019278804881912828,0.01776984922996035,0.026559347978144292,0.02336137947912135,0.019325167608901933,0.01928034715732902,0.023309896402028768,0.0304918548236725,0.03389437349212956,0.033918692189338844,0.034502193797052626,0.025530246727048504
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae,0.010595155516149776,0.012206236789305477,0.010018382735917063,0.03247975375740721,0.017368422043555674,0.014204383700559606,0.012527550975568576,0.030783162860164696,0.019200779815251288,0.014573884362382097,0.016205806201170587,0.014598931656633934,0.026640765245622738,0.026462315067357477,0.021787368032024735,0.02689378197371857,0.023831497104775282
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinifilaceae,0.00515881223898818,0.005565193922436339,0.007808178949693044,0.02385025112911483,0.011061190190340334,0.011687151146030054,0.007824901070893604,0.013313464508128309,0.005814502635843256,0.009773365020043398,0.00819216396705441,0.009799835338569188,0.00933523612907,0.016915783682298135,0.016861315192388097,0.016986756306476943,0.007824048741046854
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae,0.6006261426728295,0.43658215806797723,0.670633801298694,1.063546492636599,0.5495607216979445,0.5590254074670308,0.598816936632178,0.7766750805059117,0.5495092624380933,0.5168928429303306,0.6444237844108078,0.6419698717572576,0.7195200274938547,0.8722933699339531,0.786011774491673,0.9062055218221204,0.6954909631420334
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae,0.251034986705447,0.1852983780713827,0.2932324465887044,0.45926954172046874,0.23222223547124435,0.23222469217342454,0.2573929896595667,0.3338672235344207,0.22602909913068017,0.22390114573625874,0.28999863728410524,0.25824380901451766,0.31422941038112384,0.37017931568118273,0.341074016762304,0.3747889872491293,0.29208693024509363
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae,0.03807072829531784,0.022911597890698528,0.04809910698708824,0.05813002383966279,0.02351875758201441,0.03262413302814885,0.041186732976600075,0.041106166431822556,0.02360688070152362,0.029209313844537767,0.03939379573503646,0.03444057357669995,0.029346277544126054,0.04545070095825402,0.0435992437896198,0.045328665001857275,0.03546139836495349
